id,name,category,supplier_id,price,created_at
1,Pro Speaker,Electronics,9,299.18,2022-09-14
2,Eco Blanket,Home,4,133.7,2023-11-09
3,Classic Standing Desk,Office,14,151.33,2022-02-23
4,Pro Headphones,Electronics,7,79.84,2022-11-25
5,Deluxe Vacuum,Home,1,56.32,2023-04-26
6,Eco Whiteboard,Office,18,94.63,2022-11-29
7,Eco Cap,Apparel,19,269.58,2023-10-21
8,Pro Backpack,Outdoors,14,333.91,2022-11-03
9,Mini Backpack,Outdoors,7,281.6,2022-03-10
10,Classic Tent,Outdoors,13,333.74,2022-08-07
11,Max Monitor,Electronics,20,322.88,2023-08-13
12,Pro Hiking Poles,Outdoors,15,118.89,2022-09-29
13,Classic Chair,Office,3,274.59,2023-03-22
14,Mini Whiteboard,Office,20,83.96,2022-04-08
15,Everyday Backpack,Outdoors,3,7.91,2023-07-12
16,Eco Monitor,Electronics,3,267.62,2023-07-05
17,Classic Cookware Set,Home,9,283.54,2022-07-13
18,Max Hoodie,Apparel,12,186.27,2023-07-01
19,Eco Hiking Poles,Outdoors,9,229.65,2022-01-27
20,Everyday Speaker,Electronics,6,50.24,2022-04-08
21,Eco Desk Organizer,Office,15,269.02,2023-04-04
22,Mini Socks,Apparel,18,228.27,2022-11-26
23,Max Lamp,Home,8,307.17,2023-02-07
24,Max Webcam,Electronics,9,223.66,2023-03-21
25,Eco Charger,Electronics,11,225.89,2023-07-11
26,Lite Cookware Set,Home,15,17.17,2022-08-01
27,Mini Blanket,Home,8,177.5,2023-11-19
28,Deluxe Pen Set,Office,19,166.37,2022-05-31
29,Everyday Cap,Apparel,12,342.09,2022-01-25
30,Ultra Vacuum,Home,16,28.03,2022-06-13
31,Pro Headphones,Electronics,5,116.15,2023-10-05
32,Prime Vacuum,Home,3,266.46,2022-07-25
33,Prime Jacket,Apparel,15,225.03,2022-12-20
34,Mini Standing Desk,Office,1,267.4,2023-07-03
35,Deluxe Monitor,Electronics,11,165.52,2022-10-20
36,Mini Webcam,Electronics,6,70.95,2023-07-24
37,Pro Socks,Apparel,9,13.97,2022-03-16
38,Ultra Standing Desk,Office,4,290.33,2022-03-05
39,Deluxe Lantern,Outdoors,7,187.44,2023-05-17
40,Max Blanket,Home,18,202.91,2022-04-23
41,Pro Standing Desk,Office,11,65.16,2022-12-15
42,Pro T-Shirt,Apparel,12,181.23,2023-05-03
43,Eco Tent,Outdoors,8,155.5,2022-06-17
44,Classic Notebook,Office,16,253.96,2022-07-31
45,Deluxe Keyboard,Electronics,5,147.92,2023-11-03
46,Deluxe Hoodie,Apparel,9,51.61,2022-03-03
47,Everyday Chair,Office,7,384.95,2022-09-14
48,Eco Whiteboard,Office,10,281.38,2023-09-29
49,Max Cap,Apparel,17,110.02,2023-06-19
50,Classic Hoodie,Apparel,8,312.61,2023-11-10
51,Max Headphones,Electronics,19,288.17,2023-07-07
